ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
1581,1,2,0,0,3,1,0,2,3,0,0,1
1582,1,1,1,0,3,1,0,3,1,1,1,1
1583,1,1,0,0,4,2,0,4,3,3,4,1
1584,1,2,0,1,3,1,0,0,0,1,4,0
1585,0,2,0,1,3,1,0,4,1,0,4,1
1586,1,1,0,1,3,1,0,1,3,3,0,1
1587,0,2,0,0,4,1,0,0,2,1,0,1
1588,1,0,1,0,0,1,0,2,3,0,1,1
1589,0,1,0,0,3,1,0,3,3,3,4,1
1590,1,1,0,0,1,1,1,4,2,0,0,1
1591,1,0,0,0,4,2,0,4,0,1,0,1
1592,1,0,0,0,1,1,0,1,2,2,0,1
1593,1,0,0,0,1,2,0,0,3,3,0,0
1594,1,1,1,0,0,2,0,1,1,2,0,0
1595,1,2,1,0,3,1,0,3,0,0,3,1
1596,1,0,1,0,2,2,0,3,3,1,0,1
1597,0,1,1,0,4,1,0,0,3,3,2,1
1598,1,3,1,0,4,1,0,3,3,1,0,1
1599,1,0,1,0,4,1,0,1,3,3,2,1
1600,1,1,0,0,1,0,0,0,2,1,4,0
1601,0,1,1,0,3,1,0,4,0,0,1,1
1602,1,2,1,0,3,1,0,3,3,1,4,1
1603,1,1,1,0,4,1,0,3,3,1,0,1
1604,1,1,0,0,2,1,0,2,0,0,3,0
1605,1,0,1,0,1,2,0,3,3,1,0,0
1606,1,1,1,0,2,1,0,4,0,2,4,1
1607,1,1,1,0,1,1,0,2,0,0,4,1
1608,1,1,1,0,1,1,0,3,3,1,0,1
1609,1,2,1,0,4,1,0,3,2,1,3,1
1610,1,1,1,0,1,2,0,1,3,0,0,0
1611,0,1,1,0,1,1,0,0,0,2,3,0
1612,1,2,1,0,4,1,0,3,3,1,0,1
1613,1,1,0,0,1,2,0,1,1,0,1,0
1614,1,1,1,0,4,2,0,3,3,1,0,1
1615,1,2,1,0,4,1,0,3,3,1,2,1
1616,1,0,1,0,4,1,0,3,0,2,4,1
1617,1,3,1,0,3,1,0,0,1,1,4,1
1618,1,1,1,0,3,1,0,2,2,3,0,1
1619,1,1,1,0,2,2,0,2,2,2,3,1
1620,1,2,0,1,3,1,0,2,2,3,0,0
1621,1,0,1,1,3,1,0,2,0,1,3,0
1622,1,2,1,0,2,1,0,1,3,3,4,1
1623,1,1,1,0,3,1,0,0,2,3,4,1
1624,1,0,0,0,1,1,0,2,2,3,3,0
1625,1,1,1,0,2,2,0,1,2,0,4,0
1626,0,3,1,0,0,1,0,0,3,1,0,0
1627,0,2,1,0,0,2,0,0,3,2,2,0
1628,1,3,1,1,2,1,0,2,3,0,4,0
1629,1,1,1,0,2,1,0,0,3,1,3,1
1630,1,0,1,0,1,1,0,1,3,0,0,1
1631,1,1,1,0,4,1,0,0,0,2,0,1
1632,0,1,1,0,0,1,0,3,3,1,0,1
1633,1,1,1,0,3,2,0,1,1,0,0,0
1634,1,0,1,0,4,1,0,4,3,2,4,1
1635,0,0,1,0,2,1,0,1,3,2,4,1
1636,1,1,1,0,2,1,0,2,2,2,4,1
1637,1,0,1,1,2,1,1,4,2,0,0,0
1638,1,0,1,0,4,1,0,4,0,1,0,1
1639,0,0,1,0,2,1,0,1,2,2,0,1
1640,1,0,1,0,0,1,0,0,3,3,0,1
1641,1,2,1,0,1,2,0,3,1,2,4,1
1642,1,0,1,0,2,1,0,3,1,2,4,1
1643,1,0,1,0,0,1,0,0,0,0,2,1
1644,1,0,1,1,1,1,0,0,3,3,0,1
1645,1,1,1,0,3,1,0,3,1,2,0,1
1646,0,0,1,0,2,1,0,3,1,2,0,1
1647,1,0,1,0,3,1,0,2,0,1,4,1
1648,1,0,1,0,4,1,0,0,1,1,4,1
1649,1,0,1,0,3,2,0,3,0,2,4,1
1650,1,2,1,0,2,1,0,0,2,3,0,1
1651,1,0,0,0,4,2,0,2,2,3,0,0
1652,1,2,1,0,2,1,0,1,2,0,0,1
1653,0,2,1,1,4,1,0,0,3,3,3,1
1654,1,2,1,0,2,1,0,0,1,2,3,1
1655,1,2,1,0,2,2,0,1,1,2,0,1
1656,1,0,1,1,4,1,0,3,3,3,0,0
1657,1,2,1,0,1,1,0,3,1,0,3,1
1658,1,1,1,0,4,1,0,3,1,2,0,1
1659,1,3,0,0,3,1,0,4,0,0,4,0
1660,1,0,1,0,1,1,0,2,2,3,0,1
1661,1,0,1,0,2,1,0,1,2,0,0,1
1662,0,1,0,0,4,1,0,3,3,3,3,1
1663,0,1,0,0,4,1,0,1,3,3,0,1
1664,1,1,0,0,4,1,0,0,2,1,0,1
1665,0,3,0,0,3,2,0,2,3,0,0,1
1666,1,0,0,0,1,1,0,3,3,3,0,1
1667,0,0,0,0,2,1,1,4,2,0,0,1
1668,1,3,0,0,3,2,0,4,0,1,0,1
1669,1,0,0,1,2,1,0,1,1,2,4,0
1670,1,1,0,0,1,1,1,4,1,0,0,1
1671,1,2,0,0,1,1,0,1,0,1,4,1
1672,0,2,0,0,3,1,0,1,2,3,1,1
1673,1,2,0,0,0,1,0,3,2,2,3,0
1674,0,1,0,0,0,2,0,3,3,2,0,0
1675,1,1,0,0,0,2,1,4,1,0,3,0
1676,1,2,0,0,0,1,0,3,3,2,0,0
1677,0,2,0,0,2,1,0,0,3,2,3,1
1678,1,1,0,0,0,2,0,1,2,3,2,0
1679,1,2,0,0,1,1,0,3,3,2,0,1
1680,1,0,1,0,0,1,0,0,2,3,4,1
1681,1,1,1,0,1,1,0,3,3,2,0,1
1682,0,1,1,0,0,1,1,4,0,3,1,1
1683,0,0,1,0,0,2,0,2,2,3,0,0
1684,0,0,1,0,0,1,0,3,3,2,4,0
1685,1,0,1,0,0,1,0,1,2,1,0,0
1686,1,1,0,0,1,1,0,0,1,1,0,1
1687,1,2,0,0,0,1,0,2,3,3,3,1
1688,0,0,0,0,1,1,0,2,2,0,4,1
1689,1,1,0,1,3,1,0,1,2,0,1,1
1690,1,3,0,0,3,1,0,0,3,3,0,1
1691,1,0,0,1,4,2,0,0,1,2,0,0
1692,0,1,0,0,0,1,0,2,2,3,2,1
1693,1,1,0,0,3,1,0,0,2,0,1,1
1694,0,2,0,0,3,1,0,4,3,0,2,1
1695,1,1,0,0,4,2,0,0,0,1,3,1
1696,1,1,0,0,1,1,0,1,2,1,3,1
1697,0,0,1,0,1,1,0,0,1,1,4,1
1698,0,1,0,0,1,1,0,3,2,2,4,0
1699,1,1,1,0,2,1,0,0,2,0,4,1
1700,0,1,1,0,2,1,0,1,1,2,0,1
1701,1,2,1,0,4,1,1,4,1,0,0,1
1702,0,1,1,0,0,1,0,1,0,1,0,1
1703,0,1,1,0,1,1,0,1,2,3,0,1
1704,0,2,1,0,4,2,0,3,2,2,0,1
1705,1,1,1,0,0,1,0,3,3,2,0,1
1706,0,1,0,0,1,1,0,4,1,2,0,0
1707,1,2,1,0,3,1,0,3,3,3,0,1
1708,0,0,1,0,3,1,0,2,3,1,1,1
1709,1,3,0,0,4,1,0,4,1,2,0,1
1710,0,1,0,0,1,1,0,0,2,3,0,1
1711,0,1,0,0,1,1,0,3,3,1,0,1
1712,0,2,0,0,4,1,0,2,0,0,1,1
1713,1,0,1,0,4,1,0,2,1,0,2,1
1714,0,2,1,1,3,1,0,4,3,2,0,0
1715,1,1,0,0,3,2,0,4,0,0,1,0
1716,0,0,1,0,0,2,0,3,3,3,4,0
1717,1,1,1,0,1,1,0,3,3,3,4,1
1718,0,3,1,0,1,1,0,4,1,2,4,1
1719,1,2,1,1,0,1,0,0,2,3,1,0
1720,0,3,0,0,1,2,0,3,3,1,3,1
1721,1,1,0,0,1,1,0,0,2,3,0,1
1722,1,0,0,0,0,1,0,2,1,3,4,0
1723,1,1,0,0,3,1,0,4,2,0,3,1
1724,1,1,0,0,0,2,0,0,2,3,4,0
1725,1,1,1,0,0,1,0,4,3,2,1,1
1726,0,0,0,0,3,1,0,0,2,3,0,1
1727,0,0,0,0,1,1,0,2,1,3,3,1
1728,1,1,0,1,2,1,0,1,1,1,0,0
1729,1,0,0,0,1,1,1,4,3,2,1,1
1730,0,0,0,0,4,1,0,1,1,0,4,1
1731,1,0,0,0,2,1,0,0,1,1,4,1
1732,0,0,0,0,0,1,0,3,0,0,3,0
1733,1,2,0,0,0,1,0,2,0,0,0,0
1734,1,0,1,0,1,1,0,0,2,3,3,1
1735,0,0,0,0,1,1,0,4,1,1,0,1
1736,0,0,0,0,1,2,0,1,1,1,4,0
1737,0,1,0,1,3,1,0,3,0,0,0,0
1738,1,0,0,1,4,1,0,1,0,0,4,0
1739,1,0,0,0,2,1,0,1,3,1,3,1
1740,1,0,0,0,3,1,1,4,3,2,0,1
1741,1,0,0,0,1,1,0,1,1,0,0,1
1742,1,2,1,0,2,1,0,4,3,2,4,1
1743,1,0,0,0,3,1,0,3,1,0,4,1
1744,1,2,1,0,0,1,0,3,0,0,4,1
1745,1,1,0,0,3,1,0,2,0,0,3,1
1747,1,1,1,0,2,1,1,4,2,3,4,1
1748,1,2,0,0,4,1,0,4,1,1,4,1
1749,1,2,1,0,0,1,0,4,1,2,0,1
1750,1,2,0,0,4,1,0,0,2,3,0,1
1751,1,0,0,0,3,1,0,3,3,1,0,1
1752,1,2,0,0,1,2,0,2,0,0,0,0
1753,0,1,0,0,2,1,0,0,2,0,4,1
1754,1,3,0,1,4,1,0,1,1,2,0,0
1755,1,0,0,0,4,2,0,1,3,1,4,1
1756,0,0,0,0,4,2,0,1,1,2,0,1
1757,1,1,0,0,2,1,0,1,1,3,4,1
1758,1,1,1,0,0,1,0,3,0,2,2,1
1759,1,1,0,0,3,1,0,2,1,3,4,1
1760,1,3,0,0,2,1,0,1,1,2,4,1
1761,1,0,0,0,0,2,0,3,1,0,4,0
1762,0,0,0,0,0,2,0,3,2,1,4,0
1763,1,3,0,0,0,1,0,3,1,0,1,0
1764,1,0,0,0,0,1,0,1,0,0,4,1
1765,1,1,1,0,0,1,0,1,1,2,0,1
1766,1,2,1,0,0,1,0,1,3,3,3,1
1767,1,2,0,0,2,1,0,3,1,0,4,1
1768,0,2,0,0,1,1,0,2,2,3,4,1
1769,0,1,0,0,4,1,0,4,3,0,3,1
1770,0,1,1,0,0,1,1,4,3,0,3,1
1771,0,2,0,0,0,2,0,1,1,2,2,0
1772,1,2,1,0,0,2,1,4,3,2,4,0
1773,1,1,1,0,0,1,0,4,3,1,4,1
1774,1,2,1,0,0,1,0,4,3,0,0,1
1775,1,0,1,0,0,2,1,4,3,0,0,1
1776,0,1,0,0,0,1,1,4,1,1,1,0
1777,1,1,0,0,0,2,0,2,3,1,3,0
1778,1,0,0,0,3,1,0,4,1,2,1,1
1779,1,0,0,0,2,1,0,1,2,2,3,0
1780,1,0,0,0,3,1,0,0,2,1,0,1
1781,1,1,1,0,3,1,0,1,2,3,3,1
1782,0,2,0,0,4,2,0,1,2,0,2,1
1783,1,0,0,1,3,1,1,4,2,3,1,0
1784,1,1,0,1,3,1,0,2,1,0,4,1
1785,0,3,0,1,3,1,0,2,2,2,4,1
1786,1,0,0,0,4,1,0,3,3,3,0,1
1787,0,1,1,0,0,1,0,0,2,1,4,1
1788,0,1,0,0,3,1,0,1,0,2,3,1
1789,1,2,0,0,1,1,0,3,3,3,0,1
1790,0,1,0,0,4,2,0,0,2,0,3,1
1791,0,1,0,0,1,1,0,3,2,0,1,1
1792,1,0,0,0,1,2,0,2,3,2,4,0
1793,1,1,1,0,0,2,0,3,3,3,3,0
1794,1,1,1,0,3,1,0,3,0,2,3,1
1795,1,1,1,0,2,2,0,0,3,3,4,1
1796,1,2,1,0,4,1,0,3,3,3,0,1
1797,0,1,1,0,4,1,0,4,0,2,4,1
1798,1,1,1,0,4,1,0,2,0,1,3,1
1799,0,2,0,0,1,0,0,4,0,0,4,0
1800,1,1,1,0,3,1,1,4,2,3,0,1
1801,1,1,1,0,3,1,0,2,1,0,0,1
1802,1,2,1,0,4,1,0,2,2,2,0,1
1803,0,0,0,0,2,1,0,0,3,2,4,0
1804,1,3,1,0,1,2,0,1,1,3,3,0
1805,1,1,1,0,2,1,0,3,0,2,0,1
1806,1,1,1,0,1,1,0,0,3,3,0,1
1807,1,2,1,0,1,1,0,3,1,0,4,1
1808,0,0,1,0,4,1,0,4,0,0,1,1
1809,1,2,1,0,1,2,0,3,0,1,1,0
1810,1,1,1,0,1,1,1,4,2,3,0,0
1811,1,0,1,0,4,1,0,2,1,0,0,1
1812,1,1,0,0,1,2,0,2,2,2,0,0
1813,0,3,1,0,4,2,0,3,1,0,3,1
1814,0,2,1,0,4,1,0,3,2,1,1,1
1815,1,3,1,0,4,1,0,3,1,0,3,1
1816,0,1,1,0,3,1,0,1,3,1,4,1
1817,0,0,1,0,3,1,0,3,2,1,0,1
1818,1,1,1,0,2,2,0,0,1,3,2,1
1819,1,1,0,1,3,1,0,3,2,3,3,0
1820,1,1,1,1,3,1,0,2,0,1,4,0
1821,1,0,1,0,2,1,0,0,3,3,3,1
1822,1,0,1,0,3,1,1,4,1,3,1,1
1823,1,1,0,0,1,1,0,4,0,3,1,0
1824,1,0,1,0,2,2,0,4,0,0,0,0
1825,0,0,1,0,0,1,0,1,2,0,4,0
1826,0,0,1,0,0,2,0,1,2,1,1,0
1827,1,0,1,1,2,1,0,2,1,3,2,0
1828,0,2,1,0,2,1,1,4,2,3,0,1
1829,1,0,1,0,1,1,0,2,1,0,0,1
1830,0,0,1,0,4,1,0,4,0,0,3,1
1831,1,0,1,0,0,1,0,1,2,2,0,1
1832,0,1,1,0,3,2,0,0,2,1,0,0
1833,0,0,1,0,4,1,0,1,2,3,0,1
1834,1,0,1,0,2,1,0,1,2,0,0,1
1835,1,0,1,0,2,1,0,2,1,1,4,1
1836,1,0,1,1,2,1,1,4,2,3,0,0
1837,0,2,1,0,4,1,0,2,1,0,0,1
1838,1,0,1,0,2,1,0,4,0,0,0,1
1839,0,2,1,0,0,1,0,1,0,3,4,1
1840,1,2,1,0,1,2,0,1,2,1,0,1
1841,1,2,1,0,2,1,0,3,1,0,3,1
1842,1,2,1,0,0,1,0,1,2,1,0,1
1843,0,0,1,1,1,1,0,1,2,1,0,1
1844,1,2,1,0,3,1,0,2,1,2,3,1
1845,0,1,1,0,2,1,0,1,2,2,0,1
1846,0,3,1,0,3,1,0,3,0,1,0,1
1847,1,0,1,0,4,1,1,4,1,2,4,1
1848,1,0,1,0,3,2,0,4,2,0,0,1
1849,1,1,1,0,2,1,0,4,3,3,0,1
1850,0,1,0,0,4,2,0,1,2,1,4,0
1851,0,1,1,0,2,1,0,1,2,0,0,1
1852,0,3,1,1,4,1,0,1,2,2,4,1
1853,1,0,1,0,2,1,0,3,0,1,1,1
1854,0,0,1,0,2,2,0,1,2,1,0,1
1855,1,3,1,1,4,1,0,2,1,2,0,0
1856,0,0,1,0,1,1,0,3,1,3,3,1
1857,0,1,1,0,4,1,0,3,0,1,0,1
1858,0,2,0,0,3,1,1,4,1,2,0,0
1859,1,2,1,0,1,1,0,4,2,0,0,1
1860,1,2,1,0,2,1,0,4,2,0,3,1
1861,0,1,0,0,4,1,0,4,3,3,4,1
1862,1,1,0,0,4,1,0,1,2,0,0,1
1863,0,2,0,0,4,1,0,1,2,2,0,1
1864,1,2,0,0,3,2,0,2,0,3,3,1
1865,1,1,0,0,1,1,0,0,3,0,4,1
1866,1,2,0,0,2,1,0,1,2,0,4,1
1867,1,0,0,0,3,2,0,1,2,3,0,1
1868,1,1,0,1,2,1,0,3,0,1,3,0
1869,1,1,0,0,1,1,0,1,0,3,0,1
1870,1,0,0,0,1,1,0,1,2,1,0,1
1871,0,0,0,0,3,1,0,1,0,3,2,1
1872,1,0,0,0,0,1,0,1,0,3,0,0
1873,1,1,0,0,0,2,0,1,2,1,0,0
1874,1,2,0,0,0,2,0,1,2,3,3,0
1875,0,0,0,0,0,1,0,4,0,3,0,0
1876,1,1,0,0,2,1,0,2,3,2,2,1
1877,1,3,0,0,0,2,0,1,2,2,0,0
1878,0,0,0,0,1,1,0,0,2,1,1,1
1879,1,1,1,0,0,1,0,1,3,2,3,1
1880,1,1,1,0,1,1,0,0,2,0,4,1
1881,0,2,1,0,0,1,0,2,2,3,4,1
1882,0,1,1,0,0,2,0,1,0,0,3,0
1883,1,1,1,0,0,1,0,3,0,1,4,0
1884,1,0,1,0,0,1,0,1,0,1,0,0
1885,1,1,0,0,1,1,0,1,2,3,0,1
1886,1,1,0,0,0,1,0,3,2,2,0,1
1887,1,1,0,0,1,1,0,3,3,2,0,1
1888,1,2,0,1,3,1,0,4,0,3,3,1
1889,1,1,0,0,3,1,0,0,2,3,0,1
1890,1,1,0,1,4,2,0,3,2,3,4,0
1891,1,2,0,0,0,1,0,0,2,3,4,1
1892,1,1,0,0,3,1,0,2,3,2,0,1
1893,1,1,0,0,3,1,0,1,2,2,0,1
1894,1,2,0,0,4,2,0,0,2,1,0,1
1895,1,0,0,0,1,1,0,1,3,2,4,1
1896,1,3,1,0,1,1,0,3,1,3,4,1
1897,1,1,0,0,1,1,0,0,2,3,2,0
1898,1,1,1,0,2,1,0,3,2,2,0,1
1899,1,2,1,0,2,1,0,3,3,2,0,1
1900,1,0,1,0,4,1,0,4,0,3,0,1
1901,1,2,1,0,0,1,0,0,3,0,3,1
1902,1,1,1,0,1,1,0,1,2,2,1,1
1903,1,0,1,0,4,2,0,0,2,1,0,1
1904,1,1,1,0,0,1,0,1,3,2,0,1
1905,1,3,0,0,1,1,0,3,1,3,0,0
1906,1,2,1,0,3,1,0,3,0,3,4,1
1907,1,3,1,0,3,1,0,2,0,1,0,1
1908,1,1,0,0,4,1,1,4,0,1,0,1
1909,0,0,0,0,1,1,0,3,3,3,4,1
1910,1,1,0,0,1,1,0,1,2,3,3,1
1911,1,1,0,0,4,1,0,2,0,1,4,1
1912,0,1,1,0,4,1,0,0,0,0,4,1
1913,1,0,1,1,3,1,0,1,3,3,4,0
1914,1,0,0,0,3,2,0,0,3,3,0,0
1915,1,1,1,0,0,2,0,3,2,3,0,0
1916,1,0,1,0,1,1,0,4,0,2,0,1
1917,1,0,1,0,1,1,0,2,0,0,4,1
1918,0,0,1,1,0,1,0,2,2,2,3,0
1919,1,0,0,0,1,2,0,0,3,3,3,1
1920,0,2,0,0,1,1,0,3,2,3,4,1
1921,1,0,0,0,0,1,0,4,0,2,3,0
1922,1,0,0,0,3,1,0,0,0,0,0,1
1923,1,0,0,0,0,2,0,1,3,3,0,0
1924,1,1,1,0,0,1,0,3,0,1,4,1
1925,1,0,0,0,3,1,0,1,3,3,0,1
1926,1,0,0,0,1,1,0,0,2,3,0,1
1927,1,0,0,1,2,1,0,3,3,3,2,0
1928,0,0,0,0,1,1,0,1,3,3,3,1
1929,0,2,0,0,4,1,0,1,3,3,0,1
1930,1,0,0,0,2,1,0,0,3,3,0,1
1931,1,2,0,0,0,1,0,3,2,3,0,0
1932,0,1,0,0,0,1,0,0,3,3,4,0
1934,0,1,0,0,1,1,0,4,3,3,3,1
1935,0,2,0,0,1,2,0,1,3,3,3,0
1936,1,2,0,1,3,1,0,0,2,3,3,0
1937,1,2,0,1,4,1,0,2,3,3,0,0
1938,1,0,0,0,2,1,0,2,2,3,0,1
1939,1,2,0,0,3,1,0,1,0,1,3,1
1940,1,1,0,0,1,1,0,3,3,3,4,1
1941,0,3,1,0,2,1,0,3,0,0,2,1
1942,0,0,0,0,3,1,0,2,3,3,4,1
1943,1,0,1,0,0,1,0,2,2,3,2,1
1944,1,1,0,0,3,1,0,2,2,3,3,1
1945,0,1,0,0,2,2,0,1,0,0,4,0
1946,0,1,1,0,2,1,0,1,0,0,1,1
1947,1,3,0,0,4,1,0,3,3,1,4,1
1948,1,0,1,0,0,1,0,1,0,0,0,1
1949,1,0,0,0,4,1,0,1,0,0,0,1
1950,1,3,0,0,3,1,0,3,3,1,0,1
1951,0,0,0,0,1,2,0,4,0,0,2,0
1952,1,1,0,0,2,1,0,3,0,1,0,1
1953,1,2,0,1,4,1,0,3,1,2,3,0
1954,1,2,0,0,4,2,0,3,2,0,0,1
1955,0,2,0,0,4,2,0,3,0,1,0,1
1956,1,1,0,0,2,1,0,0,1,3,0,1
1957,1,1,1,0,0,1,0,2,0,1,0,1
1958,1,2,0,0,3,1,1,4,0,1,0,1
1959,0,2,0,0,2,1,0,3,3,3,0,1
1960,0,1,0,0,0,2,0,3,2,0,4,0
1961,1,2,0,0,0,2,0,3,0,1,4,0
1962,1,0,0,0,0,1,1,4,0,1,0,0
1963,1,1,0,0,0,1,0,2,2,2,0,1
1964,0,1,1,0,0,1,0,3,2,2,0,1
1965,1,0,1,0,0,1,0,1,1,0,1,1
1966,1,0,0,0,2,1,0,1,0,0,4,1
1967,1,0,0,0,1,1,0,1,1,1,0,1
1968,1,1,0,0,4,1,0,3,3,2,3,1
1969,1,2,1,0,0,1,0,1,1,1,0,1
1970,0,0,0,0,0,2,0,4,1,2,1,0
1971,0,1,1,0,0,2,0,1,1,1,0,0
1972,0,3,1,0,0,1,0,3,2,1,4,1
1973,1,0,1,0,0,1,0,1,3,0,3,1
1974,1,1,1,0,0,2,1,4,0,1,3,1
1975,1,1,0,0,0,1,0,2,2,2,4,0
1976,0,2,0,0,0,2,0,3,2,2,4,0
1977,0,1,0,0,3,1,0,2,3,0,0,1
1978,0,1,0,0,2,1,0,0,0,2,4,0
1979,1,0,0,0,3,1,0,1,1,1,4,1
1980,0,1,1,0,3,1,0,2,2,2,3,1
1981,0,1,0,0,4,2,1,4,0,1,3,1
1982,0,1,0,1,3,1,0,2,1,2,1,0
1983,1,2,0,1,3,1,0,2,3,0,4,1
1984,1,1,0,1,3,1,0,2,0,0,4,1
1985,1,1,0,0,4,1,0,4,3,2,0,1
1986,1,2,1,0,0,1,0,0,1,0,0,1
1987,1,1,0,0,3,1,0,2,3,3,3,1
1988,1,1,0,0,1,1,0,2,1,2,4,1
1989,0,2,0,0,4,2,0,0,0,0,0,1
1990,1,0,0,0,1,1,0,1,3,3,0,1
1991,1,3,0,0,1,2,0,3,0,1,0,0
1992,1,1,1,0,0,2,0,4,3,2,3,0
1993,0,1,1,0,3,1,0,0,1,0,2,1
1994,0,2,1,0,2,2,0,4,1,0,0,1
1995,1,0,1,0,4,1,0,0,1,3,0,1
1996,1,2,1,0,4,1,0,2,3,0,0,1
1997,1,1,1,0,4,1,0,1,1,2,0,1
1998,0,0,0,0,1,0,0,3,1,3,0,0
1999,1,2,1,0,4,1,0,4,0,1,0,1
2000,1,2,1,0,4,1,0,1,1,0,0,1
2001,1,2,1,0,4,1,0,1,0,3,0,1
2002,0,0,0,0,1,0,0,3,1,1,3,0
2003,0,2,1,0,3,1,0,4,0,3,0,1
2004,1,1,1,0,3,1,0,4,0,3,0,1
2005,1,3,1,0,4,1,0,3,2,2,0,1
2006,0,0,0,0,2,1,0,1,2,2,4,0
2007,0,0,1,0,1,2,0,2,2,3,3,0
2008,1,1,1,0,2,1,0,4,0,1,4,1
2009,0,1,1,0,1,1,0,2,1,1,3,1
2010,0,1,1,0,1,1,0,3,2,0,3,1
2011,1,3,1,0,4,1,0,0,2,3,0,1
2012,1,0,1,0,1,2,0,1,1,0,4,0
2013,0,0,1,0,1,1,0,1,0,3,4,0
2014,1,3,1,0,4,1,0,0,2,3,0,1
2015,1,0,0,0,1,2,0,0,2,2,4,0
2016,1,1,1,0,4,2,0,0,3,0,0,1
2017,1,2,1,0,4,1,0,0,3,1,0,1
2018,1,2,1,0,4,1,0,4,0,3,2,1
2019,0,2,1,0,3,1,0,4,0,3,3,1
2020,1,1,1,0,3,1,0,3,2,2,3,1
2021,0,1,1,0,2,2,0,1,2,1,3,1
2022,0,2,0,1,3,1,0,1,0,1,0,0
2023,0,2,1,1,3,1,0,0,2,3,0,0
2024,1,1,1,0,2,1,0,0,2,3,4,1
2025,1,2,1,0,3,1,0,0,2,3,0,1
2026,1,0,0,0,1,1,0,1,0,1,0,0
2027,0,1,1,0,2,2,0,1,3,1,4,0
2028,0,1,1,0,0,1,0,0,3,0,1,0
2029,0,0,1,0,0,2,0,0,3,1,4,0
2030,1,0,1,1,2,1,0,4,3,0,4,0
2031,1,0,1,0,2,1,0,2,2,2,4,1
2032,0,1,1,0,1,1,0,1,0,1,4,1
2033,1,2,1,0,4,1,0,2,1,0,0,1
2034,1,0,1,0,0,1,0,4,1,0,0,1
2035,1,1,1,0,3,2,0,2,3,2,0,0
2036,1,3,1,0,4,1,0,4,2,1,0,1
2037,0,0,1,0,2,1,0,0,0,3,3,1
2038,0,1,1,0,2,1,0,0,3,3,0,1
2039,1,1,1,1,2,1,0,0,1,2,0,0
2040,0,2,1,0,4,1,0,1,1,2,0,1
2041,0,1,1,0,2,1,0,3,3,3,0,1
2042,0,1,1,0,0,1,0,3,1,0,0,1
2043,1,0,1,0,1,2,0,0,3,3,2,1
2044,1,1,1,0,2,1,0,2,1,0,3,1
2045,0,1,1,0,0,1,0,4,1,0,3,1
2046,1,1,1,1,1,1,0,2,3,2,4,1
2047,1,2,1,0,3,1,0,4,2,1,3,1
2048,1,1,1,0,2,1,0,4,0,2,0,1
2049,0,1,1,0,3,1,0,3,1,3,4,1
2050,1,2,1,0,4,1,0,0,2,1,0,1
2051,1,1,1,0,3,2,0,0,0,1,0,1
2052,1,1,1,0,2,1,0,3,1,1,3,1
2053,1,2,0,0,4,2,0,1,1,0,0,0
2054,1,0,1,0,2,1,0,2,0,2,3,1
2055,1,3,1,1,4,1,0,4,0,0,2,1
2056,1,1,1,0,2,1,0,0,0,1,3,1
2057,0,1,1,0,2,2,0,0,3,2,0,1
2058,0,2,1,1,4,1,0,1,1,0,0,0
2059,0,0,1,0,1,1,0,4,0,2,3,1
2060,1,2,1,0,4,1,0,1,1,3,0,1
2061,1,1,0,0,3,1,0,3,2,0,4,0
2062,0,0,1,0,1,1,0,0,2,1,3,1
2063,0,1,1,0,2,1,0,0,0,1,4,1
2064,1,3,0,0,4,1,0,2,0,1,0,1
2065,1,2,0,0,4,1,0,2,0,0,0,1
2066,1,3,0,0,4,1,0,0,0,1,4,1
2067,0,1,0,0,3,2,0,3,2,1,3,1
2068,0,0,0,0,1,1,0,3,3,1,3,1
2069,0,1,0,0,2,1,0,0,1,0,3,1
2070,0,1,0,0,3,2,0,1,0,0,4,1
2071,0,1,0,1,2,1,0,0,2,1,4,0
2072,1,0,0,0,1,1,0,0,3,2,3,1
2073,0,0,0,0,1,1,0,1,1,2,3,1
2074,0,1,0,0,3,1,0,1,1,3,3,1
2075,0,0,0,1,0,1,0,2,0,0,4,0
2076,0,0,0,0,0,2,0,2,3,3,2,0
2077,1,0,0,0,0,2,0,2,0,1,4,0
2078,0,0,0,0,0,1,0,2,0,0,3,0
2079,1,2,0,0,2,1,0,0,1,0,0,1
2080,0,0,0,0,0,2,0,2,0,0,2,0
2081,1,0,0,0,1,1,0,1,3,0,2,1
2082,1,0,1,0,0,1,0,3,1,0,4,1
2083,1,1,1,0,1,1,0,3,3,1,0,1
2084,1,0,1,0,0,1,0,2,1,2,4,1
2085,0,0,1,0,0,2,0,3,3,1,0,0
2086,1,0,1,0,0,1,0,0,1,0,0,0
2087,1,0,1,0,0,1,0,0,2,1,4,0
2088,0,2,0,0,1,1,0,0,2,0,4,1
2089,1,0,0,0,0,1,0,1,0,0,3,1
2090,0,2,0,0,1,1,0,4,3,2,3,1
2091,0,2,0,1,3,1,0,0,1,0,3,1
2092,0,2,0,0,3,1,0,1,2,2,0,1
2093,1,2,0,1,4,2,0,3,2,2,0,0
2094,0,0,0,0,0,1,0,2,1,0,4,1
2095,1,2,0,0,3,1,0,1,1,0,3,1
2096,1,1,0,0,3,1,0,1,1,0,3,1
2097,0,3,0,0,4,2,0,1,2,2,3,1
2098,1,0,0,0,1,1,0,3,2,2,4,1
