ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
121,1,1,1,0,1,1,0,4,1,1,0,1
122,1,1,1,0,1,1,0,2,3,2,3,1
123,1,0,1,1,0,1,0,0,1,3,3,0
124,1,0,0,0,1,2,0,2,0,2,4,1
125,1,0,0,0,1,1,0,0,0,3,4,1
126,0,1,0,0,0,1,0,1,3,1,0,0
127,0,2,0,0,3,1,0,2,3,0,0,1
128,1,0,0,0,0,2,0,0,1,2,3,0
129,0,1,1,0,0,1,1,4,3,2,0,1
130,1,3,0,0,3,1,0,1,0,2,0,1
131,1,0,0,0,1,1,0,1,3,1,0,1
132,1,1,0,1,2,1,0,4,1,0,3,0
133,1,1,0,0,1,1,0,0,1,3,1,1
134,1,2,0,0,4,1,0,2,3,0,3,1
135,1,1,0,0,2,1,0,1,1,2,3,1
136,1,1,0,0,0,1,1,4,2,0,0,0
137,1,0,0,0,0,1,0,2,3,0,0,0
138,1,1,1,0,1,1,0,2,0,0,4,1
139,1,1,0,0,1,1,0,4,3,2,0,1
140,0,1,0,0,1,2,0,1,3,1,0,0
141,1,2,0,1,3,1,0,1,3,1,4,0
142,1,1,0,1,4,1,0,1,0,2,0,0
143,0,1,0,0,2,1,0,1,3,1,0,1
144,1,2,0,0,3,1,0,4,1,0,3,1
145,0,1,0,0,1,1,0,4,1,1,2,1
146,1,1,1,0,2,1,0,0,1,3,3,1
147,0,2,0,0,3,1,0,2,0,2,4,1
148,1,0,1,0,0,1,0,0,0,3,4,1
149,1,3,0,0,3,1,0,1,3,1,0,1
150,0,1,0,0,2,2,0,2,3,0,0,0
151,1,1,1,0,2,1,0,0,1,2,3,1
152,1,2,0,0,4,1,0,4,1,1,1,1
153,1,0,1,0,0,1,0,1,0,2,0,1
154,0,2,0,0,4,1,0,3,3,1,3,1
155,1,1,0,0,3,1,0,2,3,0,4,1
156,1,0,0,0,1,2,0,1,0,2,0,0
157,0,1,0,0,2,1,0,2,2,2,3,1
158,0,3,0,1,4,1,1,4,2,0,1,0
159,1,2,0,0,4,2,0,4,3,2,3,1
160,1,3,0,0,4,2,0,2,0,2,4,1
161,0,1,0,0,2,1,0,0,0,3,4,1
162,1,0,1,0,0,1,0,1,3,1,0,1
163,1,1,0,0,3,1,0,2,3,0,0,1
164,1,1,0,0,2,1,0,0,1,2,3,1
165,0,1,0,0,0,2,0,4,1,1,1,0
166,1,0,0,0,0,2,0,1,0,2,0,0
167,1,0,0,0,0,1,0,3,3,1,3,0
168,1,1,0,0,0,1,0,2,3,0,4,1
169,1,0,1,0,0,1,0,1,0,2,0,1
170,1,0,1,0,0,1,0,0,1,2,4,1
171,1,0,0,0,2,1,0,3,1,2,0,1
172,1,2,0,0,1,1,0,2,1,0,0,1
173,1,2,0,0,4,1,0,3,0,0,0,1
174,1,0,1,0,0,1,0,4,3,3,1,1
175,1,0,0,0,0,2,0,1,0,2,0,0
176,1,0,1,0,0,2,0,0,3,3,0,0
177,0,1,1,0,0,1,0,2,2,1,2,1
178,1,0,1,0,0,1,0,1,0,2,0,1
179,1,0,1,0,0,2,0,0,2,1,2,1
180,1,0,0,0,0,1,1,4,2,0,1,0
181,1,0,0,0,0,2,0,4,0,1,3,0
182,1,2,0,0,3,1,0,1,2,2,2,1
183,1,0,0,0,2,1,0,1,0,2,0,0
184,1,2,0,0,3,1,0,1,1,2,4,1
185,0,1,1,0,3,1,1,4,0,0,1,1
186,1,0,0,0,4,2,0,0,0,0,0,1
187,1,1,0,1,3,1,1,4,3,0,1,0
188,1,2,0,1,3,1,0,1,1,3,3,1
189,1,2,0,1,3,1,0,2,0,0,3,1
190,0,2,0,0,4,1,0,0,0,0,0,1
